PageID,Page Title,Page Title Encoded,Keywords
30,2-8-0,2-8-0,"locomotive, type, built, railroad, first, freight, wikipedia, class, national, prr"
31,2003_Atlantic_hurricane_season,2003_Atlantic_hurricane_season,"tropical, storm, hurricane, mph, depression, july, september, km, season, mbar"
32,2004_Atlantic_hurricane_season,2004_Atlantic_hurricane_season,"hurricane, tropical, storm, august, season, september, km, ivan, category, mbar"
33,2004_Indian_Ocean_earthquake,2004_Indian_Ocean_earthquake,"earthquake, tsunami, ocean, plate, indian, south, magnitude, km, mi, water"
34,2005_Atlantic_hurricane_season,2005_Atlantic_hurricane_season,"hurricane, storm, season, tropical, formed, storms, atlantic, category, record, hurricanes"
35,2005_Hertfordshire_Oil_Storage_Terminal_fire,2005_Hertfordshire_Oil_Storage_Terminal_fire,"fire, explosion, smoke, december, hertfordshire, tank, fuel, oil, storage, away"
36,2005_Kashmir_earthquake,2005_Kashmir_earthquake,"earthquake, pakistan, kashmir, relief, people, october, many, magnitude, region, indian"
37,2005_Lake_Tanganyika_earthquake,2005_Lake_Tanganyika_earthquake,"earthquake, wikipedia, damage, lake, tanganyika, drc, war, reported, far, felt"
38,2005_Sumatra_earthquake,2005_Sumatra_earthquake,"earthquake, tsunami, indian, ocean, sumatra, december, nias, damage, coast, island"
39,20th_century,20th_century,"bc, century, world, war, many, new, united, states, became, led"
40,21st_century,21st_century,"century, set, president, place, people, prime, minister, mars, mercury, takes"
41,2nd_century,2nd_century,"bc, century, wikipedia, hadrian, roman, christian, wall, years, rome, decades"
42,3_Juno,3_Juno,"juno, asteroids, september, november, surface, asteroid, february, april, august, may"
43,3rd_century,3rd_century,"bc, century, roman, wikipedia, period, emperor, baths, caracalla, kingdom, alexandria"
44,4-2-0,4-2-0,"locomotive, driving, axle, design, railroads, weight, first, wikipedia, leading, truck"
45,4-4-0,4-4-0,"locomotive, railroad, type, railway, class, locomotives, steam, campbell, built, first"
46,4-6-0,4-6-0,"railroad, locomotive, norris, built, first, enlarge, baldwin, type, patent, wikipedia"
47,47_Ursae_Majoris,47_Ursae_Majoris,"ursae, majoris, planet, system, planets, around, b, star, orbit, mass"
48,47_Ursae_Majoris_b,47_Ursae_Majoris_b,"ursae, majoris, b, planet, planets, star, mass, extrasolar, discovery, jupiter"
49,47_Ursae_Majoris_c,47_Ursae_Majoris_c,"ursae, majoris, planet, c, mass, orbital, extrasolar, star, discovery, jupiter"
50,4_Vesta,4_Vesta,"vesta, km, surface, asteroid, may, space, asteroids, crust, crater, hubble"
51,4th_century,4th_century,"bc, century, wikipedia, christian, constantine, roman, see, saint, decades, contemporary"
52,55_Cancri,55_Cancri,"cancri, planet, star, system, planets, b, mass, around, solar, distance"
53,55_Cancri_b,55_Cancri_b,"planet, cancri, b, star, mass, extrasolar, discovery, jupiter, wikipedia, radial"
54,55_Cancri_c,55_Cancri_c,"cancri, planet, c, star, mass, period, discovery, wikipedia, extrasolar, planets"
55,55_Cancri_d,55_Cancri_d,"planet, cancri, star, jupiter, mass, orbit, discovery, around, measurements, wikipedia"
56,55_Cancri_e,55_Cancri_e,"cancri, planet, e, mass, planets, star, neptune, orbit, extrasolar, discovery"
57,5th_century,5th_century,"bc, century, rome, roman, wikipedia, western, st, last, europe, events"
58,6-2-0,6-2-0,"locomotive, c, wikipedia, burn, railroad, unpowered, axle, leading, truck, driving"
59,6th_century,6th_century,"bc, century, china, wikipedia, period, persia, king, buddhist, founded, khosrau"
60,7th_century,7th_century,"bc, century, china, wikipedia, first, qur, islam, decades, surah, handwritten"
61,8th_century,8th_century,"bc, century, wikipedia, period, buddhist, see, english, use, history, centuries"
62,90377_Sedna,90377_Sedna,"sedna, object, objects, au, orbit, sun, observed, planet, discovery, orbital"
63,9th_century,9th_century,"bc, century, western, period, roman, art, first, wikipedia, dark, ages"
64,A._E._J._Collins,A._E._J._Collins,"collins, match, school, innings, house, clifton, score, p, cricket, june"
65,ABO_blood_group_system,ABO_blood_group_system,"blood, b, type, group, abo, antigens, ab, antibodies, anti, cells"
66,AC_DC,AC_DC,"band, album, young, ac, dc, rock, malcolm, bon, scott, angus"
67,AIDS,AIDS,"hiv, aids, people, infection, disease, infections, infected, countries, million, patients"
68,AK-47,AK-47,"ak, type, receiver, rifle, akm, rifles, mm, automatic, stock, kalashnikov"
69,ALCO_FA,ALCO_FA,"railroad, railway, alco, fa, pacific, numbers, units, canadian, locomotive, fpa"
70,ASCII,ASCII,"ascii, character, control, characters, bit, code, systems, codes, use, used"
71,AT&T,AT%26T,"bell, merger, telephone, sbc, company, bellsouth, inc, new, communications, texas"
72,ATLAS_experiment,ATLAS_experiment,"particles, detector, atlas, energy, particle, inner, large, calorimeter, model, two"
73,A_Christmas_Carol,A_Christmas_Carol,"christmas, scrooge, carol, story, ghost, marley, starring, dickens, cratchit, film"
74,A_Tale_of_a_Tub,A_Tale_of_a_Tub,"swift, tale, work, temple, tub, edition, book, church, jonathan, one"
75,A_Wrinkle_in_Time,A_Wrinkle_in_Time,"murry, mrs, meg, charles, wallace, whatsit, children, book, time, first"
76,A_cappella,A_cappella,"cappella, music, vocal, groups, college, instruments, singing, university, also, instrumental"
77,Aachen,Aachen,"aachen, city, century, since, first, flag, germany, aix, la, building"
78,Aardvark,Aardvark,"aardvark, long, tubulidentata, orycteropus, aardvarks, wikipedia, species, afer, pig, known"
79,Aarhus,Aarhus,"city, aarhus, århus, denmark, centre, largest, many, town, danish, year"
80,Abacá,Abac%C3%A1,"plant, abacá, leaves, musa, wikipedia, textilis, name, philippines, fibre, hemp"
81,Abacus,Abacus,"abacus, beads, chinese, used, soroban, system, counting, roman, bead, use"
82,Abadan,Abadan,"abadan, oil, iran, city, refinery, name, river, population, persian, war"
83,Abbadid,Abbadid,"al, abbad, mu, tamid, seville, history, qasim, muhammad, ibn, alfonso"
84,Abbas_I_of_Persia,Abbas_I_of_Persia,"abbās, shah, persian, isfahan, religious, army, abbas, wikipedia, qasim, great"
85,Abbasid,Abbasid,"al, abbasid, abbasids, power, baghdad, caliphate, empire, authority, arab, caliphs"
86,Abbey,Abbey,"church, house, abbey, buildings, side, cloister, monks, monastery, one, refectory"
87,Abbey_Theatre,Abbey_Theatre,"abbey, theatre, yeats, irish, play, lady, company, horniman, plays, gregory"
88,Abbot,Abbot,"abbot, abbots, monks, st, title, church, bishop, century, sometimes, lay"
89,Abel_Tasman,Abel_Tasman,"tasman, new, south, known, zealand, batavia, east, australia, north, coast"
90,Aberdeen,Aberdeen,"aberdeen, city, scotland, north, street, oil, university, union, council, scottish"
91,Aberration_of_light,Aberration_of_light,"aberration, star, light, earth, observer, position, motion, apparent, sun, object"
92,Aberystwyth,Aberystwyth,"aberystwyth, wales, town, university, railway, also, castle, welsh, national, hill"
93,Abhidhamma_Pitaka,Abhidhamma_Pitaka,"abhidhamma, book, matika, etc, good, first, deals, says, pitaka, method"
94,Abidjan,Abidjan,"abidjan, district, city, airport, port, ville, government, ivoire, communes, area"
95,Abkhazia,Abkhazia,"abkhazia, georgian, abkhaz, georgia, government, russian, ethnic, sukhumi, population, international"
96,Able_Archer_83,Able_Archer_83,"soviet, nuclear, able, archer, attack, reagan, would, war, union, ryan"
97,Abraham_Goldfaden,Abraham_Goldfaden,"goldfaden, yiddish, theatre, jewish, first, die, plays, new, time, also"
98,Abraham_Lincoln,Abraham_Lincoln,"lincoln, war, states, union, abraham, illinois, slavery, president, party, state"
99,Absinthe,Absinthe,"absinthe, thujone, wormwood, alcohol, many, effects, absinth, high, drink, herbs"
100,Absolute_zero,Absolute_zero,"zero, absolute, temperature, temperatures, scale, heat, energy, cold, system, point"
101,Abstract_art,Abstract_art,"art, abstract, non, wikipedia, rather, objective, also, black, square, kazimir"
102,Abu_Dhabi,Abu_Dhabi,"abu, dhabi, city, al, population, cultural, sheikh, island, street, emirate"
103,Abuja,Abuja,"abuja, city, district, nigeria, capital, territory, national, area, centre, federal"
104,Acceleration,Acceleration,"acceleration, velocity, time, mathbf, dt, change, direction, frac, v, also"
105,Accountancy,Accountancy,"accounting, accountancy, book, accountant, accountants, certified, system, financial, income, firms"
106,Accra,Accra,"accra, ghana, city, national, centre, african, tema, wikipedia, enlarge, fort"
107,Acetic_acid,Acetic_acid,"acid, acetic, vinegar, used, ch, acetate, c, h, production, chemical"
108,Acetone,Acetone,"acetone, c, used, also, water, point, data, use, effects, damage"
109,Achilles,Achilles,"achilles, island, patroclus, troy, greek, hector, also, war, iliad, son"
110,Achilles_tendon,Achilles_tendon,"tendon, achilles, posterior, leg, heel, lower, wikipedia, calcaneus, lateral, ankle"
111,Acid_rain,Acid_rain,"acid, rain, pollution, deposition, ph, sulfur, water, also, emissions, gases"
112,Acorn_Computers,Acorn_Computers,"acorn, bbc, computer, arm, system, company, cpu, market, computers, micro"
113,Actinium,Actinium,"actinium, half, life, mol, atomic, k, isotopes, radioactive, wikipedia, chemical"
114,Action_potential,Action_potential,"potential, action, membrane, cell, sodium, channels, voltage, potassium, potentials, current"
115,Actor,Actor,"actors, actor, film, awards, theatre, actress, acting, play, television, roles"
116,Acts_of_Union_1707,Acts_of_Union_1707,"union, scotland, act, parliament, england, flag, scottish, acts, treaty, c"
117,Actuary,Actuary,"actuaries, insurance, actuarial, life, financial, risk, exams, work, actuary, society"
118,Adam_Smith,Adam_Smith,"smith, wealth, nations, economics, adam, moral, theory, free, would, interest"
119,Addis_Ababa,Addis_Ababa,"addis, ababa, city, ethiopia, ethiopian, emperor, menelik, also, african, haile"
120,Adelaide,Adelaide,"adelaide, south, australia, city, australian, state, government, light, north, population"
121,Adenosine_triphosphate,Adenosine_triphosphate,"atp, energy, phosphate, nadh, also, adp, cycle, synthesis, protein, molecules"
122,Adi_Shankara,Adi_Shankara,"shankara, adi, vedanta, advaita, philosophy, india, brahman, tradition, works, hindu"
123,Adolf_Hitler,Adolf_Hitler,"hitler, party, german, germany, adolf, war, also, nazi, military, later"
124,Adriaen_van_der_Donck,Adriaen_van_der_Donck,"van, donck, der, new, netherland, dutch, kieft, company, stuyvesant, colony"
125,Advertising,Advertising,"advertising, public, commercial, marketing, many, media, advertisers, ads, used, regulation"
126,Aesthetics,Aesthetics,"art, aesthetic, aesthetics, beauty, beautiful, often, design, value, judgments, forms"
127,Afghan_Hound,Afghan_Hound,"afghan, hound, breed, dog, stds, hounds, coat, black, wikipedia, group"
128,Afghanistan,Afghanistan,"afghanistan, country, afghan, kabul, persian, government, century, kandahar, soviet, taliban"
129,Africa,Africa,"africa, african, european, world, also, continent, africans, many, south, languages"
130,African_American_literature,African_American_literature,"american, african, literature, black, novel, writers, also, wrote, first, published"
131,African_Black_Oystercatcher,African_Black_Oystercatcher,"black, oystercatcher, african, wikipedia, haematopus, moquini, adults, plumage, scientific, species"
132,African_Brush-tailed_Porcupine,African_Brush-tailed_Porcupine,"brush, tailed, porcupine, porcupines, african, quills, wikipedia, like, meat, family"
133,African_Buffalo,African_Buffalo,"buffalo, african, wikipedia, caffer, c, cape, lions, syncerus, found, related"
134,African_Darter,African_Darter,"anhinga, darter, african, wikipedia, species, rufa, water, neck, related, birds"
135,African_Great_Lakes,African_Great_Lakes,"lake, great, lakes, region, african, seen, world, wikipedia, right, africa"
136,African_Grey_Hornbill,African_Grey_Hornbill,"grey, hornbill, african, wikipedia, mainly, birds, tockus, nasutus, bird, female"
137,African_Grey_Parrot,African_Grey_Parrot,"african, grey, parrots, parrot, erithacus, birds, cage, psittacus, greys, congo"
138,African_Jacana,African_Jacana,"jacana, african, wikipedia, birds, actophilornis, africana, floating, family, vegetation, black"
139,African_Penguin,African_Penguin,"penguins, african, penguin, birds, near, species, island, cape, town, wikipedia"
140,African_Union,African_Union,"african, flag, union, au, africa, state, states, republic, assembly, languages"
141,African_Wild_Dog,African_Wild_Dog,"dog, wild, african, species, hunting, dogs, members, pups, wikipedia, family"
142,African_clawed_frog,African_clawed_frog,"laevis, xenopus, x, oocyte, frog, wikipedia, african, clawed, genus, species"
143,African_dwarf_frog,African_dwarf_frog,"african, dwarf, frogs, hymenochirus, frog, clawed, wikipedia, see, also, insects"
144,African_slave_trade,African_slave_trade,"trade, slave, slaves, african, africa, slavery, century, european, also, europe"
145,Afrikaans,Afrikaans,"afrikaans, dutch, language, south, english, also, africa, speakers, many, spoken"
146,Agamemnon,Agamemnon,"agamemnon, greek, war, also, son, atreus, troy, king, father, sacrifice"
147,Age_of_Enlightenment,Age_of_Enlightenment,"enlightenment, philosophy, period, state, natural, political, age, newton, philosopher, idea"
148,Aggregator,Aggregator,"aggregator, content, news, feed, aggregators, search, feeds, internet, software, web"
149,Agnosticism,Agnosticism,"agnosticism, god, agnostic, know, existence, huxley, believe, view, russell, belief"
150,Agriculture,Agriculture,"agriculture, agricultural, food, farming, plants, crops, enlarge, wheat, field, soil"
151,Airbus,Airbus,"airbus, aircraft, boeing, eads, bae, engine, france, european, germany, aisle"
152,Airbus_A380,Airbus_A380,"aircraft, airbus, first, flight, airlines, ft, singapore, boeing, test, two"
153,Aircraft,Aircraft,"aircraft, air, lift, use, engine, wing, powered, military, world, aviation"
154,Aircraft_carrier,Aircraft_carrier,"aircraft, carriers, carrier, deck, navy, war, uss, hms, first, ship"
155,Airship,Airship,"airship, airships, air, zeppelin, rigid, first, used, war, uss, flight"
156,Ajax_(programming),Ajax_%28programming%29,"web, ajax, server, scripting, microsoft, remote, xmlhttprequest, object, used, term"
157,Akbar,Akbar,"akbar, bairam, khan, mughal, also, adham, empire, shah, however, even"
158,Akhenaten,Akhenaten,"akhenaten, aten, reign, year, pharaoh, egyptian, also, amenhotep, egypt, death"
159,Akira_Kurosawa,Akira_Kurosawa,"kurosawa, film, films, akira, also, japanese, made, rashomon, director, seven"
160,Akkadian_Empire,Akkadian_Empire,"akkadian, sargon, empire, bc, king, naram, sin, period, people, armeni"
161,Akrotiri_and_Dhekelia,Akrotiri_and_Dhekelia,"british, cyprus, dhekelia, bases, akrotiri, base, areas, sovereign, united, area"
162,Aksumite_currency,Aksumite_currency,"coins, aksumite, king, gold, coin, found, silver, aksum, also, use"
163,Al_Jazeera,Al_Jazeera,"al, jazeera, english, news, u, language, channel, arabic, government, september"
164,Alamosaurus,Alamosaurus,"alamosaurus, found, alamo, cretaceous, texas, formation, wikipedia, late, dinosaur, named"
165,Alan_Turing,Alan_Turing,"turing, machine, alan, university, computer, park, time, bombe, enigma, work"
166,Albania,Albania,"albania, flag, albanian, country, age, republic, also, countries, greece, illyrians"
167,Albatross,Albatross,"albatross, albatrosses, species, birds, north, breeding, one, long, black, order"
168,Albert_Einstein,Albert_Einstein,"einstein, theory, albert, relativity, would, paper, quantum, one, time, university"
169,Alberto_Santos-Dumont,Alberto_Santos-Dumont,"dumont, santos, flight, first, aircraft, air, aviation, made, flights, wrights"
170,Albertosaurus,Albertosaurus,"albertosaurus, species, two, growth, tyrannosaurids, alberta, sarcophagus, years, may, individuals"
171,Albigensian_Crusade,Albigensian_Crusade,"de, raymond, toulouse, montfort, town, cathars, crusade, crusaders, fell, cathar"
172,Albinism,Albinism,"albinism, pigment, skin, omim, eyes, people, type, ocular, may, albinistic"
173,Albrecht_Dürer,Albrecht_D%C3%BCrer,"dürer, nuremberg, albrecht, years, first, german, great, works, prints, engravings"
174,Albrecht_Rodenbach,Albrecht_Rodenbach,"rodenbach, flemish, roeselare, albrecht, wikipedia, belgium, de, dutch, movement, students"
175,Alchemy,Alchemy,"alchemy, alchemists, alchemist, alchemical, century, one, world, also, science, modern"
176,Alcibiades,Alcibiades,"alcibiades, athens, b, thucydides, athenian, plutarch, peloponnesian, war, athenians, would"
177,Alcohol,Alcohol,"alcohol, alcohols, ethanol, group, ch, oh, methanol, carbon, also, used"
178,Aleksandr_Pushkin,Aleksandr_Pushkin,"pushkin, russian, poem, enlarge, later, great, became, two, would, prose"
179,Aleksandr_Vasilevsky,Aleksandr_Vasilevsky,"vasilevsky, soviet, war, general, staff, military, stalin, commander, army, zhukov"
180,Aleksey_Arakcheyev,Aleksey_Arakcheyev,"arakcheyev, artillery, army, military, tsar, inspector, alexander, later, alexey, general"
181,Alexander_Graham_Bell,Alexander_Graham_Bell,"bell, telephone, deaf, one, also, alexander, graham, patent, hydrofoil, many"
182,Alexander_Hamilton,Alexander_Hamilton,"hamilton, new, jefferson, york, washington, first, burr, president, government, john"
183,Alexander_the_Great,Alexander_the_Great,"alexander, bc, persian, one, death, also, king, greek, great, philip"
184,Alfred_Hitchcock,Alfred_Hitchcock,"hitchcock, film, films, one, alfred, first, would, often, also, director"
185,Alfred_Nobel,Alfred_Nobel,"nobel, prize, alfred, swedish, prizes, dynamite, sweden, given, wikipedia, stockholm"
186,Alfred_the_Great,Alfred_the_Great,"alfred, king, danes, english, great, wessex, made, also, two, anglo"
187,Algebra,Algebra,"algebra, equations, yes, mathematician, b, numbers, al, linear, general, quadratic"
188,Algeria,Algeria,"algeria, french, algerian, government, years, algiers, language, also, population, berber"
189,Algerian_Civil_War,Algerian_Civil_War,"fis, gia, government, army, ais, guerrillas, massacres, algerian, islamic, algeria"
190,Algiers,Algiers,"algiers, city, mosque, el, algeria, harbour, french, built, two, british"
191,Algol,Algol,"algol, star, system, b, mass, binary, years, eclipsing, one, first"
192,Algoma_Central_Railway,Algoma_Central_Railway,"railway, algoma, central, line, bay, sault, ste, marie, agawa, canyon"
193,Algorithm,Algorithm,"algorithm, algorithms, p, turing, machine, problems, problem, one, programming, number"
194,Alice's_Adventures_in_Wonderland,Alice%27s_Adventures_in_Wonderland,"alice, wonderland, rabbit, adventures, film, tenniel, book, chapter, first, carroll"
195,All_Blacks,All_Blacks,"blacks, new, zealand, first, team, south, world, tour, rugby, test"
196,All_You_Need_Is_Love_(The_JAMs_song),All_You_Need_Is_Love_%28The_JAMs_song%29,"jams, need, love, shag, drummond, single, version, mu, label, cauty"
197,All_your_base_are_belong_to_us,All_your_base_are_belong_to_us,"captain, cats, ha, operator, 艦長, zig, base, us, text, original"
198,Allah,Allah,"god, allāh, word, arabic, used, also, allah, name, islam, jews"
199,Allegory_in_the_Middle_Ages,Allegory_in_the_Middle_Ages,"allegory, testament, allegorical, middle, ages, old, events, medieval, new, christ"
200,Alligator,Alligator,"alligator, alligators, american, florida, species, water, smaller, larger, wikipedia, also"
201,Alliterative_verse,Alliterative_verse,"verse, alliterative, old, line, lines, english, syllables, form, norse, two"
202,Allosaurus,Allosaurus,"allosaurus, dinosaurs, dinosaur, big, al, skull, museum, marsh, species, large"
203,Almaty,Almaty,"almaty, kazakhstan, kazakh, alma, university, wikipedia, enlarge, ata, city, name"
204,Almond,Almond,"almond, almonds, sweet, bitter, flowers, g, also, oil, used, tree"
205,Alpaca,Alpaca,"alpaca, alpacas, fibre, animals, like, south, fleece, often, wool, however"
206,Alphabet,Alphabet,"alphabet, letters, c, language, bc, may, english, alphabets, script, latin"
207,Alternating_current,Alternating_current,"current, power, v, ac, voltage, peak, used, wire, alternating, frequencies"
208,Alternation_of_generations,Alternation_of_generations,"haploid, alternation, gametophyte, diploid, generations, sporophyte, produce, spores, cycle, called"
209,Alternative_rock,Alternative_rock,"rock, alternative, music, bands, punk, indie, pop, post, mainstream, success"
210,Aluminium,Aluminium,"aluminium, metal, used, made, al, use, c, heat, spelling, also"
211,Aluminium_chloride,Aluminium_chloride,"aluminium, chloride, g, c, alcl, reaction, ml, used, also, iii"
212,Alzheimer's_disease,Alzheimer%27s_disease,"disease, alzheimer, amyloid, ad, beta, dementia, may, also, patients, symptoms"
213,Amaranth_oil,Amaranth_oil,"oil, amaranth, grain, cholesterol, acid, wikipedia, low, cruentus, plants, source"
214,"Amarillo,_Texas",Amarillo%2C_Texas,"amarillo, city, texas, located, area, centre, county, population, downtown, school"
215,Amazon_Basin,Amazon_Basin,"amazon, brazilian, basin, forest, brazil, river, portuguese, spoken, america, south"
216,Amazon_Rainforest,Amazon_Rainforest,"amazon, rainforest, forest, species, deforestation, basin, river, amazonian, one, brazil"
217,Amazon_River,Amazon_River,"amazon, river, km, brazil, basin, mouth, south, ocean, peru, water"
218,Amazon_parrot,Amazon_parrot,"parrot, amazona, yellow, species, fronted, red, amazons, wikipedia, parrots, genus"
219,Amber,Amber,"amber, resin, found, baltic, also, sea, used, occurs, called, name"
220,Amda_Seyon_I,Amda_Seyon_I,"seyon, amda, emperor, pp, ad, din, ethiopian, governor, army, ifat"
221,American_Civil_War,American_Civil_War,"war, union, states, slavery, confederate, south, lincoln, confederacy, north, lee"
222,American_English,American_English,"english, american, new, words, north, many, speech, british, century, england"
223,American_Revolutionary_War,American_Revolutionary_War,"british, war, american, army, washington, new, troops, battle, men, york"
224,American_Samoa,American_Samoa,"samoa, american, pago, samoan, islands, u, independent, village, united, territory"
225,American_football,American_football,"football, ball, team, players, line, game, field, end, player, play"
226,American_popular_music,American_popular_music,"music, popular, rock, like, american, country, jazz, songs, blues, early"
227,Americium,Americium,"americium, element, k, isotopes, amo, atomic, half, wikipedia, plutonium, mol"
228,Amish,Amish,"amish, church, pennsylvania, community, groups, communities, old, county, children, use"
229,Ammolite,Ammolite,"ammolite, colors, also, may, korite, international, used, stone, shell, gem"
230,Ammonia,Ammonia,"ammonia, nh, ammonium, solutions, liquid, acid, also, salts, gas, hydrogen"
231,Ammonite,Ammonite,"ammonite, ammonites, shell, cretaceous, found, jurassic, fossils, often, shells, upper"
232,Ammosaurus,Ammosaurus,"ammosaurus, major, anchisaurus, genus, species, early, marsh, wikipedia, jurassic, originally"
233,Amsterdam,Amsterdam,"amsterdam, city, dutch, also, many, world, netherlands, century, around, august"
234,Amtrak,Amtrak,"amtrak, service, passenger, railroad, new, railroads, rail, station, train, trains"
235,Amur,Amur,"amur, river, china, bank, russia, south, russian, black, north, chinese"
236,Anaconda,Anaconda,"anaconda, anacondas, snake, prey, eunectes, feet, species, large, snakes, size"
237,Analytical_Marxism,Analytical_Marxism,"marxism, cohen, theory, analytical, justice, labour, marxist, class, marxists, production"
238,Anarchism,Anarchism,"anarchism, anarchist, anarchists, anarcho, state, would, labor, individualist, first, movement"
239,Anarcho-capitalism,Anarcho-capitalism,"anarcho, capitalism, property, state, rothbard, anarchism, society, would, private, market"
240,Anatomy,Anatomy,"anatomy, human, anatomical, knowledge, wikipedia, structure, study, humans, biology, view"
241,Ancient_Egypt,Ancient_Egypt,"bc, egyptian, egypt, ancient, period, known, world, egyptians, earliest, also"
242,Ancient_Greece,Ancient_Greece,"greek, bc, athens, greece, sparta, ancient, city, cities, alexander, war"
243,Ancient_Rome,Ancient_Rome,"roman, bc, rome, empire, century, could, also, republic, ancient, city"
244,Ancient_history,Ancient_history,"bc, ancient, roman, empire, history, period, dynasty, great, c, zhou"
245,Andes,Andes,"andes, chile, argentina, enlarge, peru, south, venezuela, range, northern, pico"
246,Andorra,Andorra,"andorra, flag, countries, catalan, french, france, spain, nw, la, de"
247,Andrés_Nocioni,Andr%C3%A9s_Nocioni,"nocioni, argentina, team, game, nba, medal, basketball, national, played, first"
248,Andrew_Carnegie,Andrew_Carnegie,"carnegie, andrew, steel, us, new, scotland, company, united, wealth, american"
249,Andrew_Dickson_White,Andrew_Dickson_White,"white, science, university, cornell, andrew, dickson, history, religion, first, wikipedia"
250,Andrew_Gonzalez,Andrew_Gonzalez,"university, de, la, salle, president, andrew, education, college, br, gonzalez"
251,Andrew_Jackson,Andrew_Jackson,"jackson, president, andrew, states, john, first, war, south, state, also"
252,Andrew_Johnson,Andrew_Johnson,"johnson, president, states, senate, congress, office, party, impeachment, andrew, union"
253,Andrew_Robinson,Andrew_Robinson,"robinson, role, film, character, television, one, roles, recurring, star, killer"
254,Andriyivskyy_Descent,Andriyivskyy_Descent,"church, descent, kiev, andrew, st, bulgakov, house, andriyivskyy, castle, street"
255,Andromeda_Galaxy,Andromeda_Galaxy,"galaxy, andromeda, stars, galaxies, light, years, milky, way, distance, one"
256,Andy_Warhol,Andy_Warhol,"warhol, art, andy, film, new, factory, york, artist, work, one"
257,Anemia,Anemia,"anaemia, iron, blood, deficiency, anemia, red, loss, production, cells, may"
258,Angel_shark,Angel_shark,"squatina, angelshark, sharks, angel, wikipedia, sand, species, known, fish, devil"
259,Angelica,Angelica,"angelica, species, wild, sylvestris, wikipedia, pug, see, north, family, apiaceae"
260,Angkor,Angkor,"angkor, wat, temples, thom, century, world, area, wikipedia, enlarge, bayon"
261,Angkor_Wat,Angkor_Wat,"angkor, temple, wat, galleries, west, towers, central, gallery, enlarge, century"
262,Anglican_Church_of_Australia,Anglican_Church_of_Australia,"revd, right, church, australia, archbishop, dioceses, anglican, south, province, metropolitan"
263,Anglican_Communion,Anglican_Communion,"church, communion, anglican, churches, episcopal, canterbury, archbishop, england, catholic, first"
