PageID,Page Title,Page Title Encoded,Keywords
,1973_oil_crisis,1973_oil_crisis,"oil, price, arab, world, u, opec, embargo, united, states, prices"
,1980_eruption_of_Mount_St._Helens,1980_eruption_of_Mount_St._Helens,"ash, eruption, km, miles, may, st, helens, feet, north, volcano"
,1997_Pacific_hurricane_season,1997_Pacific_hurricane_season,"tropical, storm, hurricane, season, pacific, depression, september, intensity, km, h"
,19th_century,19th_century,"bc, war, century, united, first, enlarge, american, world, empire, states"
,1_Ceres,1_Ceres,"ceres, planet, asteroid, km, piazzi, orbit, resolution, images, taken, symbol"
,1st_century,1st_century,"bc, century, wikipedia, first, rome, roman, calendar, jesus, christ, jerusalem"
,1st_century_BC,1st_century_BC,"bc, roman, century, caesar, julius, wikipedia, millennium, republic, founded, traditional"
,2-6-0,2-6-0,"built, first, locomotive, railroad, leading, truck, new, jersey, wikipedia, train"
,2-8-0,2-8-0,"locomotive, type, built, railroad, first, freight, wikipedia, class, national, prr"
,2003_Atlantic_hurricane_season,2003_Atlantic_hurricane_season,"tropical, storm, hurricane, mph, depression, july, september, km, season, mbar"
,2004_Atlantic_hurricane_season,2004_Atlantic_hurricane_season,"hurricane, tropical, storm, august, season, september, km, ivan, category, mbar"
,2004_Indian_Ocean_earthquake,2004_Indian_Ocean_earthquake,"earthquake, tsunami, ocean, plate, indian, south, magnitude, km, mi, water"
,2005_Atlantic_hurricane_season,2005_Atlantic_hurricane_season,"hurricane, storm, season, tropical, formed, storms, atlantic, category, record, hurricanes"
,2005_Hertfordshire_Oil_Storage_Terminal_fire,2005_Hertfordshire_Oil_Storage_Terminal_fire,"fire, explosion, smoke, december, hertfordshire, tank, fuel, oil, storage, away"
,2005_Kashmir_earthquake,2005_Kashmir_earthquake,"earthquake, pakistan, kashmir, relief, people, october, many, magnitude, region, indian"
,2005_Lake_Tanganyika_earthquake,2005_Lake_Tanganyika_earthquake,"earthquake, wikipedia, damage, lake, tanganyika, drc, war, reported, far, felt"
,2005_Sumatra_earthquake,2005_Sumatra_earthquake,"earthquake, tsunami, indian, ocean, sumatra, december, nias, damage, coast, island"
,20th_century,20th_century,"bc, century, world, war, many, new, united, states, became, led"
,21st_century,21st_century,"century, set, president, place, people, prime, minister, mars, mercury, takes"
,2nd_century,2nd_century,"bc, century, wikipedia, hadrian, roman, christian, wall, years, rome, decades"
,3_Juno,3_Juno,"juno, asteroids, september, november, surface, asteroid, february, april, august, may"
,3rd_century,3rd_century,"bc, century, roman, wikipedia, period, emperor, baths, caracalla, kingdom, alexandria"
,4-2-0,4-2-0,"locomotive, driving, axle, design, railroads, weight, first, wikipedia, leading, truck"
,4-4-0,4-4-0,"locomotive, railroad, type, railway, class, locomotives, steam, campbell, built, first"
,4-6-0,4-6-0,"railroad, locomotive, norris, built, first, enlarge, baldwin, type, patent, wikipedia"
,47_Ursae_Majoris,47_Ursae_Majoris,"ursae, majoris, planet, system, planets, around, b, star, orbit, mass"
,47_Ursae_Majoris_b,47_Ursae_Majoris_b,"ursae, majoris, b, planet, planets, star, mass, extrasolar, discovery, jupiter"
,47_Ursae_Majoris_c,47_Ursae_Majoris_c,"ursae, majoris, planet, c, mass, orbital, extrasolar, star, discovery, jupiter"
,4_Vesta,4_Vesta,"vesta, km, surface, asteroid, may, space, asteroids, crust, crater, hubble"
,4th_century,4th_century,"bc, century, wikipedia, christian, constantine, roman, see, saint, decades, contemporary"
,55_Cancri,55_Cancri,"cancri, planet, star, system, planets, b, mass, around, solar, distance"
,55_Cancri_b,55_Cancri_b,"planet, cancri, b, star, mass, extrasolar, discovery, jupiter, wikipedia, radial"
,55_Cancri_c,55_Cancri_c,"cancri, planet, c, star, mass, period, discovery, wikipedia, extrasolar, planets"
,55_Cancri_d,55_Cancri_d,"planet, cancri, star, jupiter, mass, orbit, discovery, around, measurements, wikipedia"
,55_Cancri_e,55_Cancri_e,"cancri, planet, e, mass, planets, star, neptune, orbit, extrasolar, discovery"
,5th_century,5th_century,"bc, century, rome, roman, wikipedia, western, st, last, europe, events"
,6-2-0,6-2-0,"locomotive, c, wikipedia, burn, railroad, unpowered, axle, leading, truck, driving"
,6th_century,6th_century,"bc, century, china, wikipedia, period, persia, king, buddhist, founded, khosrau"
,7th_century,7th_century,"bc, century, china, wikipedia, first, qur, islam, decades, surah, handwritten"
,8th_century,8th_century,"bc, century, wikipedia, period, buddhist, see, english, use, history, centuries"
,90377_Sedna,90377_Sedna,"sedna, object, objects, au, orbit, sun, observed, planet, discovery, orbital"
,9th_century,9th_century,"bc, century, western, period, roman, art, first, wikipedia, dark, ages"
,A._E._J._Collins,A._E._J._Collins,"collins, match, school, innings, house, clifton, score, p, cricket, june"
,ABO_blood_group_system,ABO_blood_group_system,"blood, b, type, group, abo, antigens, ab, antibodies, anti, cells"
,AC_DC,AC_DC,"band, album, young, ac, dc, rock, malcolm, bon, scott, angus"
,AIDS,AIDS,"hiv, aids, people, infection, disease, infections, infected, countries, million, patients"
,AK-47,AK-47,"ak, type, receiver, rifle, akm, rifles, mm, automatic, stock, kalashnikov"
,ALCO_FA,ALCO_FA,"railroad, railway, alco, fa, pacific, numbers, units, canadian, locomotive, fpa"
,ASCII,ASCII,"ascii, character, control, characters, bit, code, systems, codes, use, used"
,AT&T,AT%26T,"bell, merger, telephone, sbc, company, bellsouth, inc, new, communications, texas"
,ATLAS_experiment,ATLAS_experiment,"particles, detector, atlas, energy, particle, inner, large, calorimeter, model, two"
,A_Christmas_Carol,A_Christmas_Carol,"christmas, scrooge, carol, story, ghost, marley, starring, dickens, cratchit, film"
,A_Tale_of_a_Tub,A_Tale_of_a_Tub,"swift, tale, work, temple, tub, edition, book, church, jonathan, one"
,A_Wrinkle_in_Time,A_Wrinkle_in_Time,"murry, mrs, meg, charles, wallace, whatsit, children, book, time, first"
,A_cappella,A_cappella,"cappella, music, vocal, groups, college, instruments, singing, university, also, instrumental"
,Aachen,Aachen,"aachen, city, century, since, first, flag, germany, aix, la, building"
,Aardvark,Aardvark,"aardvark, long, tubulidentata, orycteropus, aardvarks, wikipedia, species, afer, pig, known"
,Aarhus,Aarhus,"city, aarhus, århus, denmark, centre, largest, many, town, danish, year"
,Abacá,Abac%C3%A1,"plant, abacá, leaves, musa, wikipedia, textilis, name, philippines, fibre, hemp"
,Abacus,Abacus,"abacus, beads, chinese, used, soroban, system, counting, roman, bead, use"
,Abadan,Abadan,"abadan, oil, iran, city, refinery, name, river, population, persian, war"
,Abbadid,Abbadid,"al, abbad, mu, tamid, seville, history, qasim, muhammad, ibn, alfonso"
,Abbas_I_of_Persia,Abbas_I_of_Persia,"abbās, shah, persian, isfahan, religious, army, abbas, wikipedia, qasim, great"
,Abbasid,Abbasid,"al, abbasid, abbasids, power, baghdad, caliphate, empire, authority, arab, caliphs"
,Abbey,Abbey,"church, house, abbey, buildings, side, cloister, monks, monastery, one, refectory"
,Abbey_Theatre,Abbey_Theatre,"abbey, theatre, yeats, irish, play, lady, company, horniman, plays, gregory"
,Abbot,Abbot,"abbot, abbots, monks, st, title, church, bishop, century, sometimes, lay"
,Abel_Tasman,Abel_Tasman,"tasman, new, south, known, zealand, batavia, east, australia, north, coast"
,Aberdeen,Aberdeen,"aberdeen, city, scotland, north, street, oil, university, union, council, scottish"
,Aberration_of_light,Aberration_of_light,"aberration, star, light, earth, observer, position, motion, apparent, sun, object"
,Aberystwyth,Aberystwyth,"aberystwyth, wales, town, university, railway, also, castle, welsh, national, hill"
,Abhidhamma_Pitaka,Abhidhamma_Pitaka,"abhidhamma, book, matika, etc, good, first, deals, says, pitaka, method"
,Abidjan,Abidjan,"abidjan, district, city, airport, port, ville, government, ivoire, communes, area"
,Abkhazia,Abkhazia,"abkhazia, georgian, abkhaz, georgia, government, russian, ethnic, sukhumi, population, international"
,Able_Archer_83,Able_Archer_83,"soviet, nuclear, able, archer, attack, reagan, would, war, union, ryan"
,Abraham_Goldfaden,Abraham_Goldfaden,"goldfaden, yiddish, theatre, jewish, first, die, plays, new, time, also"
,Abraham_Lincoln,Abraham_Lincoln,"lincoln, war, states, union, abraham, illinois, slavery, president, party, state"
,Absinthe,Absinthe,"absinthe, thujone, wormwood, alcohol, many, effects, absinth, high, drink, herbs"
,Absolute_zero,Absolute_zero,"zero, absolute, temperature, temperatures, scale, heat, energy, cold, system, point"
,Abstract_art,Abstract_art,"art, abstract, non, wikipedia, rather, objective, also, black, square, kazimir"
,Abu_Dhabi,Abu_Dhabi,"abu, dhabi, city, al, population, cultural, sheikh, island, street, emirate"
,Abuja,Abuja,"abuja, city, district, nigeria, capital, territory, national, area, centre, federal"
,Acceleration,Acceleration,"acceleration, velocity, time, mathbf, dt, change, direction, frac, v, also"
,Accountancy,Accountancy,"accounting, accountancy, book, accountant, accountants, certified, system, financial, income, firms"
,Accra,Accra,"accra, ghana, city, national, centre, african, tema, wikipedia, enlarge, fort"
,Acetic_acid,Acetic_acid,"acid, acetic, vinegar, used, ch, acetate, c, h, production, chemical"
,Acetone,Acetone,"acetone, c, used, also, water, point, data, use, effects, damage"
,Achilles,Achilles,"achilles, island, patroclus, troy, greek, hector, also, war, iliad, son"
,Achilles_tendon,Achilles_tendon,"tendon, achilles, posterior, leg, heel, lower, wikipedia, calcaneus, lateral, ankle"
,Acid_rain,Acid_rain,"acid, rain, pollution, deposition, ph, sulfur, water, also, emissions, gases"
,Acorn_Computers,Acorn_Computers,"acorn, bbc, computer, arm, system, company, cpu, market, computers, micro"
,Actinium,Actinium,"actinium, half, life, mol, atomic, k, isotopes, radioactive, wikipedia, chemical"
,Action_potential,Action_potential,"potential, action, membrane, cell, sodium, channels, voltage, potassium, potentials, current"
,Actor,Actor,"actors, actor, film, awards, theatre, actress, acting, play, television, roles"
,Acts_of_Union_1707,Acts_of_Union_1707,"union, scotland, act, parliament, england, flag, scottish, acts, treaty, c"
,Actuary,Actuary,"actuaries, insurance, actuarial, life, financial, risk, exams, work, actuary, society"
,Adam_Smith,Adam_Smith,"smith, wealth, nations, economics, adam, moral, theory, free, would, interest"
,Addis_Ababa,Addis_Ababa,"addis, ababa, city, ethiopia, ethiopian, emperor, menelik, also, african, haile"
,Adelaide,Adelaide,"adelaide, south, australia, city, australian, state, government, light, north, population"
,Adenosine_triphosphate,Adenosine_triphosphate,"atp, energy, phosphate, nadh, also, adp, cycle, synthesis, protein, molecules"
,Adi_Shankara,Adi_Shankara,"shankara, adi, vedanta, advaita, philosophy, india, brahman, tradition, works, hindu"
,Adolf_Hitler,Adolf_Hitler,"hitler, party, german, germany, adolf, war, also, nazi, military, later"
,Adriaen_van_der_Donck,Adriaen_van_der_Donck,"van, donck, der, new, netherland, dutch, kieft, company, stuyvesant, colony"
,Advertising,Advertising,"advertising, public, commercial, marketing, many, media, advertisers, ads, used, regulation"
,Aesthetics,Aesthetics,"art, aesthetic, aesthetics, beauty, beautiful, often, design, value, judgments, forms"
,Afghan_Hound,Afghan_Hound,"afghan, hound, breed, dog, stds, hounds, coat, black, wikipedia, group"
,Afghanistan,Afghanistan,"afghanistan, country, afghan, kabul, persian, government, century, kandahar, soviet, taliban"
,Africa,Africa,"africa, african, european, world, also, continent, africans, many, south, languages"
,African_American_literature,African_American_literature,"american, african, literature, black, novel, writers, also, wrote, first, published"
,African_Black_Oystercatcher,African_Black_Oystercatcher,"black, oystercatcher, african, wikipedia, haematopus, moquini, adults, plumage, scientific, species"
,African_Brush-tailed_Porcupine,African_Brush-tailed_Porcupine,"brush, tailed, porcupine, porcupines, african, quills, wikipedia, like, meat, family"
,African_Buffalo,African_Buffalo,"buffalo, african, wikipedia, caffer, c, cape, lions, syncerus, found, related"
,African_Darter,African_Darter,"anhinga, darter, african, wikipedia, species, rufa, water, neck, related, birds"
,African_Great_Lakes,African_Great_Lakes,"lake, great, lakes, region, african, seen, world, wikipedia, right, africa"
,African_Grey_Hornbill,African_Grey_Hornbill,"grey, hornbill, african, wikipedia, mainly, birds, tockus, nasutus, bird, female"
,African_Grey_Parrot,African_Grey_Parrot,"african, grey, parrots, parrot, erithacus, birds, cage, psittacus, greys, congo"
,African_Jacana,African_Jacana,"jacana, african, wikipedia, birds, actophilornis, africana, floating, family, vegetation, black"
,African_Penguin,African_Penguin,"penguins, african, penguin, birds, near, species, island, cape, town, wikipedia"
,African_Union,African_Union,"african, flag, union, au, africa, state, states, republic, assembly, languages"
,African_Wild_Dog,African_Wild_Dog,"dog, wild, african, species, hunting, dogs, members, pups, wikipedia, family"
,African_clawed_frog,African_clawed_frog,"laevis, xenopus, x, oocyte, frog, wikipedia, african, clawed, genus, species"
,African_dwarf_frog,African_dwarf_frog,"african, dwarf, frogs, hymenochirus, frog, clawed, wikipedia, see, also, insects"
,African_slave_trade,African_slave_trade,"trade, slave, slaves, african, africa, slavery, century, european, also, europe"
,Afrikaans,Afrikaans,"afrikaans, dutch, language, south, english, also, africa, speakers, many, spoken"
,Agamemnon,Agamemnon,"agamemnon, greek, war, also, son, atreus, troy, king, father, sacrifice"
,Age_of_Enlightenment,Age_of_Enlightenment,"enlightenment, philosophy, period, state, natural, political, age, newton, philosopher, idea"
,Aggregator,Aggregator,"aggregator, content, news, feed, aggregators, search, feeds, internet, software, web"
,Agnosticism,Agnosticism,"agnosticism, god, agnostic, know, existence, huxley, believe, view, russell, belief"
,Agriculture,Agriculture,"agriculture, agricultural, food, farming, plants, crops, enlarge, wheat, field, soil"
,Airbus,Airbus,"airbus, aircraft, boeing, eads, bae, engine, france, european, germany, aisle"
,Airbus_A380,Airbus_A380,"aircraft, airbus, first, flight, airlines, ft, singapore, boeing, test, two"
,Aircraft,Aircraft,"aircraft, air, lift, use, engine, wing, powered, military, world, aviation"
,Aircraft_carrier,Aircraft_carrier,"aircraft, carriers, carrier, deck, navy, war, uss, hms, first, ship"
,Airship,Airship,"airship, airships, air, zeppelin, rigid, first, used, war, uss, flight"
,Ajax_(programming),Ajax_%28programming%29,"web, ajax, server, scripting, microsoft, remote, xmlhttprequest, object, used, term"
,Akbar,Akbar,"akbar, bairam, khan, mughal, also, adham, empire, shah, however, even"
,Akhenaten,Akhenaten,"akhenaten, aten, reign, year, pharaoh, egyptian, also, amenhotep, egypt, death"
,Akira_Kurosawa,Akira_Kurosawa,"kurosawa, film, films, akira, also, japanese, made, rashomon, director, seven"
,Akkadian_Empire,Akkadian_Empire,"akkadian, sargon, empire, bc, king, naram, sin, period, people, armeni"
,Akrotiri_and_Dhekelia,Akrotiri_and_Dhekelia,"british, cyprus, dhekelia, bases, akrotiri, base, areas, sovereign, united, area"
,Aksumite_currency,Aksumite_currency,"coins, aksumite, king, gold, coin, found, silver, aksum, also, use"
,Al_Jazeera,Al_Jazeera,"al, jazeera, english, news, u, language, channel, arabic, government, september"
,Alamosaurus,Alamosaurus,"alamosaurus, found, alamo, cretaceous, texas, formation, wikipedia, late, dinosaur, named"
,Alan_Turing,Alan_Turing,"turing, machine, alan, university, computer, park, time, bombe, enigma, work"
,Albania,Albania,"albania, flag, albanian, country, age, republic, also, countries, greece, illyrians"
,Albatross,Albatross,"albatross, albatrosses, species, birds, north, breeding, one, long, black, order"
,Albert_Einstein,Albert_Einstein,"einstein, theory, albert, relativity, would, paper, quantum, one, time, university"
,Alberto_Santos-Dumont,Alberto_Santos-Dumont,"dumont, santos, flight, first, aircraft, air, aviation, made, flights, wrights"
,Albertosaurus,Albertosaurus,"albertosaurus, species, two, growth, tyrannosaurids, alberta, sarcophagus, years, may, individuals"
,Albigensian_Crusade,Albigensian_Crusade,"de, raymond, toulouse, montfort, town, cathars, crusade, crusaders, fell, cathar"
,Albinism,Albinism,"albinism, pigment, skin, omim, eyes, people, type, ocular, may, albinistic"
,Albrecht_Dürer,Albrecht_D%C3%BCrer,"dürer, nuremberg, albrecht, years, first, german, great, works, prints, engravings"
,Albrecht_Rodenbach,Albrecht_Rodenbach,"rodenbach, flemish, roeselare, albrecht, wikipedia, belgium, de, dutch, movement, students"
,Alchemy,Alchemy,"alchemy, alchemists, alchemist, alchemical, century, one, world, also, science, modern"
,Alcibiades,Alcibiades,"alcibiades, athens, b, thucydides, athenian, plutarch, peloponnesian, war, athenians, would"
,Alcohol,Alcohol,"alcohol, alcohols, ethanol, group, ch, oh, methanol, carbon, also, used"
,Aleksandr_Pushkin,Aleksandr_Pushkin,"pushkin, russian, poem, enlarge, later, great, became, two, would, prose"
,Aleksandr_Vasilevsky,Aleksandr_Vasilevsky,"vasilevsky, soviet, war, general, staff, military, stalin, commander, army, zhukov"
,Aleksey_Arakcheyev,Aleksey_Arakcheyev,"arakcheyev, artillery, army, military, tsar, inspector, alexander, later, alexey, general"
,Alexander_Graham_Bell,Alexander_Graham_Bell,"bell, telephone, deaf, one, also, alexander, graham, patent, hydrofoil, many"
,Alexander_Hamilton,Alexander_Hamilton,"hamilton, new, jefferson, york, washington, first, burr, president, government, john"
,Alexander_the_Great,Alexander_the_Great,"alexander, bc, persian, one, death, also, king, greek, great, philip"
,Alfred_Hitchcock,Alfred_Hitchcock,"hitchcock, film, films, one, alfred, first, would, often, also, director"
,Alfred_Nobel,Alfred_Nobel,"nobel, prize, alfred, swedish, prizes, dynamite, sweden, given, wikipedia, stockholm"
,Alfred_the_Great,Alfred_the_Great,"alfred, king, danes, english, great, wessex, made, also, two, anglo"
,Algebra,Algebra,"algebra, equations, yes, mathematician, b, numbers, al, linear, general, quadratic"
,Algeria,Algeria,"algeria, french, algerian, government, years, algiers, language, also, population, berber"
,Algerian_Civil_War,Algerian_Civil_War,"fis, gia, government, army, ais, guerrillas, massacres, algerian, islamic, algeria"
,Algiers,Algiers,"algiers, city, mosque, el, algeria, harbour, french, built, two, british"
,Algol,Algol,"algol, star, system, b, mass, binary, years, eclipsing, one, first"
,Algoma_Central_Railway,Algoma_Central_Railway,"railway, algoma, central, line, bay, sault, ste, marie, agawa, canyon"
,Algorithm,Algorithm,"algorithm, algorithms, p, turing, machine, problems, problem, one, programming, number"
,Alice's_Adventures_in_Wonderland,Alice%27s_Adventures_in_Wonderland,"alice, wonderland, rabbit, adventures, film, tenniel, book, chapter, first, carroll"
,All_Blacks,All_Blacks,"blacks, new, zealand, first, team, south, world, tour, rugby, test"
,All_You_Need_Is_Love_(The_JAMs_song),All_You_Need_Is_Love_%28The_JAMs_song%29,"jams, need, love, shag, drummond, single, version, mu, label, cauty"
,All_your_base_are_belong_to_us,All_your_base_are_belong_to_us,"captain, cats, ha, operator, 艦長, zig, base, us, text, original"
,Allah,Allah,"god, allāh, word, arabic, used, also, allah, name, islam, jews"
,Allegory_in_the_Middle_Ages,Allegory_in_the_Middle_Ages,"allegory, testament, allegorical, middle, ages, old, events, medieval, new, christ"
,Alligator,Alligator,"alligator, alligators, american, florida, species, water, smaller, larger, wikipedia, also"
,Alliterative_verse,Alliterative_verse,"verse, alliterative, old, line, lines, english, syllables, form, norse, two"
,Allosaurus,Allosaurus,"allosaurus, dinosaurs, dinosaur, big, al, skull, museum, marsh, species, large"
,Almaty,Almaty,"almaty, kazakhstan, kazakh, alma, university, wikipedia, enlarge, ata, city, name"
,Almond,Almond,"almond, almonds, sweet, bitter, flowers, g, also, oil, used, tree"
,Alpaca,Alpaca,"alpaca, alpacas, fibre, animals, like, south, fleece, often, wool, however"
,Alphabet,Alphabet,"alphabet, letters, c, language, bc, may, english, alphabets, script, latin"
,Alternating_current,Alternating_current,"current, power, v, ac, voltage, peak, used, wire, alternating, frequencies"
,Alternation_of_generations,Alternation_of_generations,"haploid, alternation, gametophyte, diploid, generations, sporophyte, produce, spores, cycle, called"
,Alternative_rock,Alternative_rock,"rock, alternative, music, bands, punk, indie, pop, post, mainstream, success"
,Aluminium,Aluminium,"aluminium, metal, used, made, al, use, c, heat, spelling, also"
,Aluminium_chloride,Aluminium_chloride,"aluminium, chloride, g, c, alcl, reaction, ml, used, also, iii"
,Alzheimer's_disease,Alzheimer%27s_disease,"disease, alzheimer, amyloid, ad, beta, dementia, may, also, patients, symptoms"
,Amaranth_oil,Amaranth_oil,"oil, amaranth, grain, cholesterol, acid, wikipedia, low, cruentus, plants, source"
,"Amarillo,_Texas",Amarillo%2C_Texas,"amarillo, city, texas, located, area, centre, county, population, downtown, school"
,Amazon_Basin,Amazon_Basin,"amazon, brazilian, basin, forest, brazil, river, portuguese, spoken, america, south"
,Amazon_Rainforest,Amazon_Rainforest,"amazon, rainforest, forest, species, deforestation, basin, river, amazonian, one, brazil"
,Amazon_River,Amazon_River,"amazon, river, km, brazil, basin, mouth, south, ocean, peru, water"
,Amazon_parrot,Amazon_parrot,"parrot, amazona, yellow, species, fronted, red, amazons, wikipedia, parrots, genus"
,Amber,Amber,"amber, resin, found, baltic, also, sea, used, occurs, called, name"
,Amda_Seyon_I,Amda_Seyon_I,"seyon, amda, emperor, pp, ad, din, ethiopian, governor, army, ifat"
,American_Civil_War,American_Civil_War,"war, union, states, slavery, confederate, south, lincoln, confederacy, north, lee"
,American_English,American_English,"english, american, new, words, north, many, speech, british, century, england"
,American_Revolutionary_War,American_Revolutionary_War,"british, war, american, army, washington, new, troops, battle, men, york"
,American_Samoa,American_Samoa,"samoa, american, pago, samoan, islands, u, independent, village, united, territory"
,American_football,American_football,"football, ball, team, players, line, game, field, end, player, play"
,American_popular_music,American_popular_music,"music, popular, rock, like, american, country, jazz, songs, blues, early"
,Americium,Americium,"americium, element, k, isotopes, amo, atomic, half, wikipedia, plutonium, mol"
,Amish,Amish,"amish, church, pennsylvania, community, groups, communities, old, county, children, use"
,Ammolite,Ammolite,"ammolite, colors, also, may, korite, international, used, stone, shell, gem"
,Ammonia,Ammonia,"ammonia, nh, ammonium, solutions, liquid, acid, also, salts, gas, hydrogen"
,Ammonite,Ammonite,"ammonite, ammonites, shell, cretaceous, found, jurassic, fossils, often, shells, upper"
,Ammosaurus,Ammosaurus,"ammosaurus, major, anchisaurus, genus, species, early, marsh, wikipedia, jurassic, originally"
,Amsterdam,Amsterdam,"amsterdam, city, dutch, also, many, world, netherlands, century, around, august"
,Amtrak,Amtrak,"amtrak, service, passenger, railroad, new, railroads, rail, station, train, trains"
,Amur,Amur,"amur, river, china, bank, russia, south, russian, black, north, chinese"
,Anaconda,Anaconda,"anaconda, anacondas, snake, prey, eunectes, feet, species, large, snakes, size"
,Analytical_Marxism,Analytical_Marxism,"marxism, cohen, theory, analytical, justice, labour, marxist, class, marxists, production"
,Anarchism,Anarchism,"anarchism, anarchist, anarchists, anarcho, state, would, labor, individualist, first, movement"
,Anarcho-capitalism,Anarcho-capitalism,"anarcho, capitalism, property, state, rothbard, anarchism, society, would, private, market"
,Anatomy,Anatomy,"anatomy, human, anatomical, knowledge, wikipedia, structure, study, humans, biology, view"
,Ancient_Egypt,Ancient_Egypt,"bc, egyptian, egypt, ancient, period, known, world, egyptians, earliest, also"
,Ancient_Greece,Ancient_Greece,"greek, bc, athens, greece, sparta, ancient, city, cities, alexander, war"
,Ancient_Rome,Ancient_Rome,"roman, bc, rome, empire, century, could, also, republic, ancient, city"
,Ancient_history,Ancient_history,"bc, ancient, roman, empire, history, period, dynasty, great, c, zhou"
,Andes,Andes,"andes, chile, argentina, enlarge, peru, south, venezuela, range, northern, pico"
,Andorra,Andorra,"andorra, flag, countries, catalan, french, france, spain, nw, la, de"
,Andrés_Nocioni,Andr%C3%A9s_Nocioni,"nocioni, argentina, team, game, nba, medal, basketball, national, played, first"
,Andrew_Carnegie,Andrew_Carnegie,"carnegie, andrew, steel, us, new, scotland, company, united, wealth, american"
,Andrew_Dickson_White,Andrew_Dickson_White,"white, science, university, cornell, andrew, dickson, history, religion, first, wikipedia"
,Andrew_Gonzalez,Andrew_Gonzalez,"university, de, la, salle, president, andrew, education, college, br, gonzalez"
,Andrew_Jackson,Andrew_Jackson,"jackson, president, andrew, states, john, first, war, south, state, also"
,Andrew_Johnson,Andrew_Johnson,"johnson, president, states, senate, congress, office, party, impeachment, andrew, union"
,Andrew_Robinson,Andrew_Robinson,"robinson, role, film, character, television, one, roles, recurring, star, killer"
,Andriyivskyy_Descent,Andriyivskyy_Descent,"church, descent, kiev, andrew, st, bulgakov, house, andriyivskyy, castle, street"
,Andromeda_Galaxy,Andromeda_Galaxy,"galaxy, andromeda, stars, galaxies, light, years, milky, way, distance, one"
,Andy_Warhol,Andy_Warhol,"warhol, art, andy, film, new, factory, york, artist, work, one"
,Anemia,Anemia,"anaemia, iron, blood, deficiency, anemia, red, loss, production, cells, may"
,Angel_shark,Angel_shark,"squatina, angelshark, sharks, angel, wikipedia, sand, species, known, fish, devil"
,Angelica,Angelica,"angelica, species, wild, sylvestris, wikipedia, pug, see, north, family, apiaceae"
,Angkor,Angkor,"angkor, wat, temples, thom, century, world, area, wikipedia, enlarge, bayon"
,Angkor_Wat,Angkor_Wat,"angkor, temple, wat, galleries, west, towers, central, gallery, enlarge, century"
,Anglican_Church_of_Australia,Anglican_Church_of_Australia,"revd, right, church, australia, archbishop, dioceses, anglican, south, province, metropolitan"
,Anglican_Communion,Anglican_Communion,"church, communion, anglican, churches, episcopal, canterbury, archbishop, england, catholic, first"
,Anglicanism,Anglicanism,"anglican, church, churches, catholic, communion, england, anglicanism, prayer, anglicans, century"
,Anglo-Saxon_literature,Anglo-Saxon_literature,"english, old, anglo, saxon, poetry, century, poems, literature, manuscript, one"
,Angola,Angola,"angola, government, unita, portuguese, country, luanda, portugal, party, independence, president"
,Anguilla,Anguilla,"anguilla, island, territory, united, population, caribbean, british, miles, wikipedia, national"
,Animal,Animal,"animals, worms, called, animal, also, phyla, include, two, groups, cells"
